,main_token,name,info,groups,Cluster
10,polkadot,Polkadot,"Polkadot is an open source, blockchain platform and cryptocurrency. It provides interconnectivity and interoperability between blockchains, by enabling independent chains to securely exchange messages and perform transactions with each other without trusted third-party. This allows for cross-chain transfers of data or assets, between different blockchains, and for cross-chain DApps (decentralized applications) to be built using the Polkadot Network.The Polkadot network has a primary blockchain named relay chain and many user-created parallel chains called parachains.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
11,terrausd,TerraUSD,,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
12,dogecoin,Dogecoin,"Dogecoin ( DOHJ-koyn or DOHZH-koyn, code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system as a ""joke"", making fun of the wild speculation in cryptocurrencies at the time. It is considered both the first ""meme coin"", and, more specifically, the first ""dog coin"". Despite its satirical nature, some consider it a legitimate investment prospect.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
13,binance usd,Binance USD,"Binance is a cryptocurrency exchange which is the largest exchange in the world in terms of daily trading volume of cryptocurrencies. It was founded in 2017 and is registered in the Cayman Islands.
Binance was founded by Changpeng Zhao, a developer who had previously created high frequency trading software.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
14,shiba inu,Shiba Inu,"Shiba Inu token (ticker: SHIB) is a decentralized cryptocurrency created in August 2020 by an anonymous person or group known as ""Ryoshi"". It is named after the Shiba Inu (柴犬), a Japanese breed of dog originating in the Chūbu region, the same breed that is depicted in Dogecoin's symbol, itself originally a satirical cryptocurrency based on the Doge meme. Shiba Inu has been characterized as a ""meme coin"" and a pump and dump scheme.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
15,wrapped bitcoin,Wrapped Bitcoin,"Bitcoin (₿) is a decentralized digital currency, without a central bank or single administrator, that can be sent from user to user on the peer-to-peer bitcoin network without the need for intermediaries. Transactions are verified by network nodes through cryptography and recorded in a public distributed ledger called a blockchain. The cryptocurrency was invented in 2008 by an unknown person or group of people using the name Satoshi Nakamoto.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
16,polygon,Polygon,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","MATIC,ONE",19
17,near protocol,NEAR Protocol,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","AVAX,NEAR,ATOM,FTM,STX",9
18,cronos,Cronos,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
19,dai,Dai,"Wei Dai (Chinese: 戴维) is a computer engineer known for contributions to cryptography and cryptocurrencies.  He developed the Crypto++ cryptographic library, created the b-money cryptocurrency system, and co-proposed the VMAC message authentication algorithm. The smallest subunit of Ether, the wei, is named after him.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
20,litecoin,Litecoin,"Litecoin (LTC or Ł) is a peer-to-peer cryptocurrency and open-source software project released under the MIT/X11 license. Litecoin was an early bitcoin spinoff or altcoin, starting in October 2011.  In technical details, Litecoin is nearly identical to Bitcoin.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
21,tron,TRON,"TRON is a decentralized, open-source blockchain-based operating system with smart contract functionality, proof-of-stake principles as its consensus algorithm and a cryptocurrency native to the system, known as  Tronix (TRX). It was established in March 2014 by Justin Sun and since 2017 has been overseen and supervised by the TRON Foundation, a non-profit organization in Singapore, established in the same year. It was originally an Ethereum-based ERC-20 token, which switched its protocol to its own blockchain in 2018.","BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
22,cosmos,Cosmos,,"AVAX,NEAR,ATOM,FTM,STX",9
23,chainlink,Chainlink,"Chainlink is a decentralized blockchain oracle network built on Ethereum. The network is intended to be used to facilitate the transfer of tamper-proof data from off-chain sources to on-chain smart contracts. Its creators claim it can be used to verify whether the parameters of a smart contract are met in a manner independent from any of the contract's stakeholders by connecting the contract directly to real-world data, events, payments, and other inputs.",LINK,16
24,uniswap,Uniswap,Uniswap is a cryptocurrency exchange which uses a decentralized network protocol. Uniswap is also the name of the company that initially built the Uniswap protocol. The protocol facilitates automated transactions between cryptocurrency tokens on the Ethereum blockchain through the use of smart contracts.,"UNI,CAKE,AAVE,CRV,KNC",14
25,bitcoin cash,Bitcoin Cash,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120.",BCH,5
26,ftx token,FTX Token,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible.","FTT,LEO,KCS,HT,OKB",15
27,unus sed leo,UNUS SED LEO,,"FTT,LEO,KCS,HT,OKB",15
28,apecoin,ApeCoin,"Bored Ape Yacht Club (BAYC), or often colloquially called Bored Ape, is a non-fungible token (NFT) collection built on the Ethereum blockchain. The collection features profile pictures of cartoon apes that are procedurally generated by an algorithm. Yuga Labs is the parent company of Bored Ape Yacht Club.","APE,MANA,SAND,AXS,GALA,ENJ",17
29,monero,Monero,"Monero (; XMR) is a decentralized cryptocurrency. It uses a public distributed ledger with privacy-enhancing technologies that obfuscate transactions to achieve anonymity and fungibility. Observers cannot decipher addresses trading monero, transaction amounts, address balances, or transaction histories.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
30,stellar,Stellar,"After the creation of bitcoin, the number of cryptocurrencies available over the internet is growing. This is a list of notable cryptocurrencies.","XRP,XLM,EOS",12
31,algorand,Algorand,"Algorand is a pure proof of stake blockchain cryptocurrency protocol with a consensus mechanism chosen for scalability, intending to solve the blockchain trilemma. The Algorand platform supports smart contracts, and its consensus algorithm is based on proof of stake and a Byzantine agreement protocol.  Algorand's native cryptocurrency is called ALGO.


== History ==
Algorand was founded in 2017 by Silvio Micali, a professor at MIT. Algorand is composed of a company and a foundation.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
32,ethereum classic,Ethereum Classic,"Ethereum Classic is an open source, blockchain-based distributed computing platform featuring smart contract (scripting) functionality. It supports a modified version of Nakamoto consensus via transaction-based state transitions executed on a public Ethereum Virtual Machine (EVM).
Ethereum Classic maintains the original, unaltered history of the Ethereum network.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
33,vechain,VeChain,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
34,internet computer,Internet Computer,"The DFINITY Foundation is a not-for-profit organization that develops the Internet Computer, a public blockchain network platform.


== History ==


=== Origins (2015 – 2019) ===
The Internet Computer was conceived in 2015 by programmer Dominic Williams, the idea being a world computer that cannot be shut down; which originated from the Ethereum ecosystem.
DFINITY was later founded by Williams in October 2016.In 2018, prominent venture capital firms such as Andreessen Horowitz, Polychain Capital, SV Angel, Wanxiang Blockchain provided financial contributions for less than 10% of the network's governance tokens.DFINITY raised $61 million from Andreesen Horowitz and Polychain Capital in a February 2018 funding round.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
35,decentraland,Decentraland,"Decentraland is a 3D virtual world browser-based platform. Users may buy virtual plots of land in the platform as NFTs via the MANA cryptocurrency, which uses the Ethereum blockchain. It was  opened to the public in February 2020, and is overseen by the nonprofit Decentraland Foundation.","APE,MANA,SAND,AXS,GALA,ENJ",17
36,filecoin,Filecoin,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","FIL,BTT,AR,HOT",10
37,hedera,Hedera,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
38,elrond,Elrond,"Sibiu ( see-BEW, Romanian: [siˈbiw], German: Hermannstadt [ˈhɛʁmanʃtat], Hungarian: Nagyszeben [ˈnɒt͡sːɛbɛn]) is a city in Transylvania, a historical region of Romania. Located some 275 km (171 mi) north-west of Bucharest, the city straddles the Cibin River, a tributary of the river Olt. Now the capital of the Sibiu County, between 1692 and 1791 and 1849–65 Sibiu was also the capital of the Principality of Transylvania.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
39,the sandbox,The Sandbox,"The Sandbox is a sandbox game for mobile phones (iOS and Android) and Microsoft Windows, developed by the game studio Pixowl and released on May 15, 2012. It was released for PC on Steam on 29 June 2015.
The brand was acquired by Animoca Brands in 2018, and its name was used for a blockchain-based 3D open world game.","APE,MANA,SAND,AXS,GALA,ENJ",17
40,theta network,Theta Network,,THETA,3
41,fantom,Fantom,,"AVAX,NEAR,ATOM,FTM,STX",9
42,axie infinity,Axie Infinity,"Axie Infinity is an non-fungible token-based online video game developed by Vietnamese studio Sky Mavis, known for its in-game economy which uses Ethereum-based cryptocurrencies.Players of Axie Infinity collect and mint NFTs which represent axolotl-inspired digital pets known as Axies. These creatures can be bred and battled with each other within the game. Sky Mavis charges a 4.25% fee to players when they trade Axies on its marketplace.As of September 2021, most Axie Infinity players are from the Philippines.Axie Infinity is built on the Ronin Network, an Ethereum-linked sidechain developed by Sky Mavis.","APE,MANA,SAND,AXS,GALA,ENJ",17
43,thorchain,THORChain,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
44,tezos,Tezos,"Tezos is a decentralized open-source blockchain that can execute peer-to-peer transactions and serve as a platform for deploying smart contracts. The native cryptocurrency for the Tezos blockchain is the tez which has the symbol XTZ.
Tezos was created by husband-and-wife team Arthur and Kathleen Breitman and first proposed in 2014. The non-profit Tezos Foundation, based in Zug, Switzerland, was created in 2017 to support the project and raised $232 million in Bitcoin and Ethereum in one of the biggest initial coin offerings (ICOs) at the time.",XTZ,13
45,pancakeswap,PancakeSwap,"The following is a list of ethnic slurs or ethnophaulisms or ethnic epithets that are, or have been, used as insinuations or allegations about members of a given ethnicity or racial group or to refer to them in a derogatory, pejorative, or otherwise insulting manner.
Some of the terms listed below (such as ""Gringo"", ""Yank"", etc.) can be used in casual speech without any intention of causing offense. The connotation of a term and prevalence of its use as a pejorative or neutral descriptor varies over time and by geography.","UNI,CAKE,AAVE,CRV,KNC",14
46,klaytn,Klaytn,"Kakao (Korean: 카카오) is a South Korean Internet company that was established in 2010. It formed as a result of a merger between Daum Communications and the original Kakao Inc. In 2014, the company was renamed Daum Kakao.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
47,aave,Aave,,"UNI,CAKE,AAVE,CRV,KNC",14
48,eos,EOS,"EOS.IO is a blockchain protocol based on the cryptocurrency EOS. The smart contract platform claims to eliminate transaction fees and also conduct millions of transactions per second.


== History ==
Based on a white paper published in 2017, the EOSIO platform was developed by the private company block.one and released as open-source software on June 1, 2018. In order to ensure widespread distribution of the native cryptocurrency at the launch of the blockchain, one billion tokens were distributed as ERC-20 tokens by block.one.","XRP,XLM,EOS",12
49,zcash,Zcash,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
50,helium,Helium,"FreedomFi is a company for cellular networking.


== Gateway ==
The FreedomFi Gateway is a x86 device that functions as a 4G network in a box.


== Helium ==
FreedomFi has partnered with Helium to provide more coverage.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
51,waves,Waves,,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
52,flow,Flow,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
53,kucoin token,KuCoin Token,An Initial Exchange Offering (IEO) is the Cryptocurrency Exchange equivalent to a stock launch or Initial Public Offering (IPO). An IEO is the process of digital asset (e.g. coins or tokens) procurement through an established exchange for the purpose of raising capital for start-up companies.,"FTT,LEO,KCS,HT,OKB",15
54,iota,IOTA,"IOTA is an open-source distributed ledger and cryptocurrency designed for the Internet of things (IoT). It uses a directed acyclic graph to store transactions on its ledger, motivated by a potentially higher scalability over blockchain based distributed ledgers. IOTA does not use miners to validate transactions, instead, nodes that issue a new transaction on the network must approve two previous transactions.","ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0
55,stepn,STEPN,,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
56,ecash,eCash,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
57,maker,Maker,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
58,bittorrent-new,BitTorrent-New,"WebTorrent is a peer-to-peer (P2P) streaming torrent client written in JavaScript, from the same author, Feross Aboukhadijeh, of YouTube Instant, and the team at WebTorrent and on GitHub, for use in web browsers, as well as a WebTorrent Desktop stand alone version able to bridge WebTorrent and BitTorrent serverless networks.


== History ==
Before creating WebTorrent, the developers first created PeerCDN (content delivery network) which was bought by Yahoo! in 2013.","FIL,BTT,AR,HOT",10
59,the graph,The Graph,"Nano is a peer-to-peer open-source cryptocurrency. The currency is based on directed acyclic graph data structure and distributed ledger, making it possible for Nano to work without intermediaries. To agree on what transactions to commit, or forming consensuses, it uses a system called ""Open Representative Voting"" with weight based on the amount of currency they hold.Nano was launched in October 2015 by Colin LeMahieu to address Bitcoin scalability problem.",GRT,2
60,bitcoin sv,Bitcoin SV,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120.","BTC,BSV",18
61,convex finance,Convex Finance,"Igor Rivin (born 1961 in Moscow, USSR) is a Russian-Canadian mathematician, 
working in various fields of pure and applied mathematics, computer science, 
and materials science. He was the Regius Professor of Mathematics at the University of St. Andrews from 2015 to 2017, and was   the chief research officer at Cryptos Fund until 2019.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
62,neo,Neo,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency.","ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
63,stacks,Stacks,"Stacks project, formerly Blockstack, is an open-source platform to build smart contracts and decentralized blockchain applications. Stacks blockchain connects to Bitcoin to enable apps and smart contracts. In addition to smart contracts, the Stacks project provides open-source software for authentication, and data storage.","AVAX,NEAR,ATOM,FTM,STX",9
64,huobi token,Huobi Token,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin.","FTT,LEO,KCS,HT,OKB",15
65,zilliqa,Zilliqa,,"ADA,ALGO,WAVES,NEO,ZIL,KDA,ICX",11
66,harmony,Harmony,"In Christian theology, the Harrowing of Hell (Latin: Descensus Christi ad Inferos, ""the descent of Christ into Hell"" or Hades), is an Old English and Middle English term referring to the period of time between the Crucifixion of Jesus and his resurrection. In triumphant descent, Christ brought salvation to the souls held captive there since the beginning of the world.Jesus Christ's descent into the world of the dead is referred to in the Apostles' Creed and the Athanasian Creed (Quicumque vult), which state that he ""descended into the underworld"" (descendit ad inferos), although neither mention that he liberated the dead. His descent to the underworld is alluded to in the New Testament in 1 Peter 4:6, which states that the ""good tidings were proclaimed to the dead"".","MATIC,ONE",19
67,kusama,Kusama,"Voxel Bridge is an interactive public artwork under the Cambie Bridge in Vancouver, by artist Jessica Angel. The 8,000-square-foot (740 m2) mural is a vinyl overlay on the bridge that reveals interactive elements through augmented reality (AR), with aspects of the artwork being sold as non-fungible tokens. The installation  will be part of the Vancouver Biennale from summer 2021 to 2023.","SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4
68,trueusd,TrueUSD,"Stablecoins are cryptocurrencies where the price is designed to be pegged to a cryptocurrency, fiat money, or to exchange-traded commodities (such as precious metals or industrial metals).


== Backed stablecoins ==
Advantages of asset-backed cryptocurrencies are that coins are stabilized by assets that fluctuate outside of the cryptocurrency space, that is, the underlying asset is not correlated, reducing financial risk. Bitcoin and altcoins are highly correlated, so that cryptocurrency holders cannot escape widespread price falls without exiting the market or taking refuge in asset backed stablecoins.","USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7
69,gala,Gala,"Matthew Paige Damon (; born October 8, 1970) is an American actor, film producer, and screenwriter. Ranked among Forbes' most bankable stars, the films in which he has appeared have collectively earned over $3.88 billion at the North American box office, making him one of the highest-grossing actors of all time. He is the recipient of various accolades, including an Academy Award and two Golden Globe Awards, in addition to nominations for three British Academy Film Awards, six Screen Actors Guild Awards, and seven Primetime Emmy Awards.","APE,MANA,SAND,AXS,GALA,ENJ",17
70,chiliz,Chiliz,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
71,nexo,Nexo,,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1
