,index,Cluster,,ai-big-data,algorand-ecosystem,amm,analytics,arbitrum-ecosytem,asset-backed-stablecoin,avalanche-ecosystem,binance-chain,binance-launchpad,blake256,blake2s,bnb-chain,cardano,cardano-ecosystem,celo-ecosystem,centralized-exchange,collectibles-nfts,content-creation,cosmos-ecosystem,dag,dao,data-provenance,decentralized-exchange,defi,derivatives,dex,discount-token,distributed-computing,doggone-doggerel,dpos,elrond-ecosystem,enterprise-solutions,entertainment,equihash,ethash,ethereum-ecosystem,fantom-ecosystem,filesharing,gaming,governance,harmony-ecosystem,hybrid-pow-pos,injective-ecosystem,interoperability,iot,iotex-ecosystem,lending-borowing,logistics,lpos,marketing,marketplace,masternodes,media,medium-of-exchange,memes,metaverse,mineable,mobile,moonriver-ecosystem,move-to-earn,music,near-protocol-ecosystem,oracles,parafi-capital,payments,platform,play-to-earn,poi,polkadot,polkadot-ecosystem,polygon-ecosystem,pos,pow,privacy,research,ringct,rollups,scaling,scrypt,services,sha-256,sharing-economy,smart-contracts,solana-ecosystem,spartan-group,sports,stablecoin,staking,state-channel,storage,store-of-value,substrate,terra-ecosystem,tron-ecosystem,usd-stablecoin,video,web3,wrapped-tokens,x11,yield-aggregator,yield-farming,zero-knowledge-proofs,zilliqa-ecosystem,symbol,groups,0,1,name,main_token,info
10,10,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,DOT,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4,"defi                      0.357143
platform                  0.214286
polkadot-ecosystem        0.178571
injective-ecosystem       0.178571
bnb-chain                 0.178571
substrate                 0.142857
cosmos-ecosystem          0.142857
scaling                   0.107143
lending-borowing          0.107143
iot                       0.107143
smart-contracts           0.107143
polkadot                  0.107143
decentralized-exchange    0.107143
dao                       0.107143
collectibles-nfts         0.107143
solana-ecosystem          0.107143
web3                      0.107143
binance-launchpad         0.107143
                          0.071429
distributed-computing     0.071429
governance                0.071429
spartan-group             0.071429
pos                       0.071429
enterprise-solutions      0.071429
privacy                   0.071429
Name: 4, dtype: float64",Polkadot,polkadot,"Polkadot is an open source, blockchain platform and cryptocurrency. It provides interconnectivity and interoperability between blockchains, by enabling independent chains to securely exchange messages and perform transactions with each other without trusted third-party. This allows for cross-chain transfers of data or assets, between different blockchains, and for cross-chain DApps (decentralized applications) to be built using the Polkadot Network.The Polkadot network has a primary blockchain named relay chain and many user-created parallel chains called parachains."
11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,UST,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7,"stablecoin                 1.000
bnb-chain                  1.000
usd-stablecoin             1.000
asset-backed-stablecoin    0.625
moonriver-ecosystem        0.500
arbitrum-ecosytem          0.500
avalanche-ecosystem        0.375
fantom-ecosystem           0.250
harmony-ecosystem          0.250
injective-ecosystem        0.250
defi                       0.250
store-of-value             0.250
Name: 7, dtype: float64",TerraUSD,terrausd,
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOGE,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0,"mineable              0.888889
medium-of-exchange    0.777778
bnb-chain             0.666667
pow                   0.666667
privacy               0.333333
scrypt                0.222222
smart-contracts       0.222222
hybrid-pow-pos        0.222222
dao                   0.222222
binance-chain         0.222222
Name: 0, dtype: float64",Dogecoin,dogecoin,"Dogecoin ( DOHJ-koyn or DOHZH-koyn, code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system as a ""joke"", making fun of the wild speculation in cryptocurrencies at the time. It is considered both the first ""meme coin"", and, more specifically, the first ""dog coin"". Despite its satirical nature, some consider it a legitimate investment prospect."
13,13,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,BUSD,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7,"stablecoin                 1.000
bnb-chain                  1.000
usd-stablecoin             1.000
asset-backed-stablecoin    0.625
moonriver-ecosystem        0.500
arbitrum-ecosytem          0.500
avalanche-ecosystem        0.375
fantom-ecosystem           0.250
harmony-ecosystem          0.250
injective-ecosystem        0.250
defi                       0.250
store-of-value             0.250
Name: 7, dtype: float64",Binance USD,binance usd,"Binance is a cryptocurrency exchange which is the largest exchange in the world in terms of daily trading volume of cryptocurrencies. It was founded in 2017 and is registered in the Cayman Islands.
Binance was founded by Changpeng Zhao, a developer who had previously created high frequency trading software."
14,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SHIB,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4,"defi                      0.357143
platform                  0.214286
polkadot-ecosystem        0.178571
injective-ecosystem       0.178571
bnb-chain                 0.178571
substrate                 0.142857
cosmos-ecosystem          0.142857
scaling                   0.107143
lending-borowing          0.107143
iot                       0.107143
smart-contracts           0.107143
polkadot                  0.107143
decentralized-exchange    0.107143
dao                       0.107143
collectibles-nfts         0.107143
solana-ecosystem          0.107143
web3                      0.107143
binance-launchpad         0.107143
                          0.071429
distributed-computing     0.071429
governance                0.071429
spartan-group             0.071429
pos                       0.071429
enterprise-solutions      0.071429
privacy                   0.071429
Name: 4, dtype: float64",Shiba Inu,shiba inu,"Shiba Inu token (ticker: SHIB) is a decentralized cryptocurrency created in August 2020 by an anonymous person or group known as ""Ryoshi"". It is named after the Shiba Inu (柴犬), a Japanese breed of dog originating in the Chūbu region, the same breed that is depicted in Dogecoin's symbol, itself originally a satirical cryptocurrency based on the Doge meme. Shiba Inu has been characterized as a ""meme coin"" and a pump and dump scheme."
15,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,WBTC,"SOL,DOT,SHIB,WBTC,VET,ICP,EGLD,RUNE,KLAY,HNT,FLOW,GMT,XEC,MKR,CVX,KSM,QNT,LRC,MINA,AMP,COMP,GLMR,KAVA,ROSE,SCRT,ZRX,AUDIO,IOTX",4,"defi                      0.357143
platform                  0.214286
polkadot-ecosystem        0.178571
injective-ecosystem       0.178571
bnb-chain                 0.178571
substrate                 0.142857
cosmos-ecosystem          0.142857
scaling                   0.107143
lending-borowing          0.107143
iot                       0.107143
smart-contracts           0.107143
polkadot                  0.107143
decentralized-exchange    0.107143
dao                       0.107143
collectibles-nfts         0.107143
solana-ecosystem          0.107143
web3                      0.107143
binance-launchpad         0.107143
                          0.071429
distributed-computing     0.071429
governance                0.071429
spartan-group             0.071429
pos                       0.071429
enterprise-solutions      0.071429
privacy                   0.071429
Name: 4, dtype: float64",Wrapped Bitcoin,wrapped bitcoin,"Bitcoin (₿) is a decentralized digital currency, without a central bank or single administrator, that can be sent from user to user on the peer-to-peer bitcoin network without the need for intermediaries. Transactions are verified by network nodes through cryptography and recorded in a public distributed ledger called a blockchain. The cryptocurrency was invented in 2008 by an unknown person or group of people using the name Satoshi Nakamoto."
16,16,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MATIC,"MATIC,ONE",19,"platform                1.0
binance-launchpad       1.0
enterprise-solutions    1.0
injective-ecosystem     1.0
bnb-chain               1.0
scaling                 1.0
Name: 19, dtype: float64",Polygon,polygon,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
17,17,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEAR,"AVAX,NEAR,ATOM,FTM,STX",9,"injective-ecosystem    1.0
platform               0.8
bnb-chain              0.8
smart-contracts        0.6
defi                   0.6
Name: 9, dtype: float64",NEAR Protocol,near protocol,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRO,"BNB,CRO,TRX,HBAR,CHZ,NEXO,CELO,TFUEL,XEM",1,"payments                1.000000
smart-contracts         0.333333
bnb-chain               0.222222
mobile                  0.222222
medium-of-exchange      0.222222
media                   0.222222
marketplace             0.222222
centralized-exchange    0.222222
content-creation        0.222222
Name: 1, dtype: float64",Cronos,cronos,
19,19,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DAI,"USDT,USDC,UST,BUSD,DAI,TUSD,USDN,USDP",7,"stablecoin                 1.000
bnb-chain                  1.000
usd-stablecoin             1.000
asset-backed-stablecoin    0.625
moonriver-ecosystem        0.500
arbitrum-ecosytem          0.500
avalanche-ecosystem        0.375
fantom-ecosystem           0.250
harmony-ecosystem          0.250
injective-ecosystem        0.250
defi                       0.250
store-of-value             0.250
Name: 7, dtype: float64",Dai,dai,"Wei Dai (Chinese: 戴维) is a computer engineer known for contributions to cryptography and cryptocurrencies.  He developed the Crypto++ cryptographic library, created the b-money cryptocurrency system, and co-proposed the VMAC message authentication algorithm. The smallest subunit of Ether, the wei, is named after him."
20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LTC,"ETH,DOGE,LTC,XMR,ETC,ZEC,MIOTA,DASH,DCR",0,"mineable              0.888889
medium-of-exchange    0.777778
bnb-chain             0.666667
pow                   0.666667
privacy               0.333333
scrypt                0.222222
smart-contracts       0.222222
hybrid-pow-pos        0.222222
dao                   0.222222
binance-chain         0.222222
Name: 0, dtype: float64",Litecoin,litecoin,"Litecoin (LTC or Ł) is a peer-to-peer cryptocurrency and open-source software project released under the MIT/X11 license. Litecoin was an early bitcoin spinoff or altcoin, starting in October 2011.  In technical details, Litecoin is nearly identical to Bitcoin."
