,name,info
10,Polkadot,"Polkadot is an open source, blockchain platform and cryptocurrency. It provides interconnectivity and interoperability between blockchains, by enabling independent chains to securely exchange messages and perform transactions with each other without trusted third-party. This allows for cross-chain transfers of data or assets, between different blockchains, and for cross-chain DApps (decentralized applications) to be built using the Polkadot Network.The Polkadot network has a primary blockchain named relay chain and many user-created parallel chains called parachains."
11,Dogecoin,"Dogecoin ( DOHJ-koyn or DOHZH-koyn, code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system as a ""joke"", making fun of the wild speculation in cryptocurrencies at the time. It is considered both the first ""meme coin"", and, more specifically, the first ""dog coin"". Despite its satirical nature, some consider it a legitimate investment prospect."
12,Binance USD,"Binance is a cryptocurrency exchange which is the largest exchange in the world in terms of daily trading volume of cryptocurrencies. It was founded in 2017 and is registered in the Cayman Islands.
Binance was founded by Changpeng Zhao, a developer who had previously created high frequency trading software."
13,Shiba Inu,"Shiba Inu token (ticker: SHIB) is a decentralized cryptocurrency created in August 2020 by an anonymous person or group known as ""Ryoshi"". It is named after the Shiba Inu (柴犬), a Japanese breed of dog originating in the Chūbu region, the same breed that is depicted in Dogecoin's symbol, itself originally a satirical cryptocurrency based on the Doge meme. Shiba Inu has been characterized as a ""meme coin"" and a pump and dump scheme."
14,Wrapped Bitcoin,"Bitcoin (₿) is a decentralized digital currency, without a central bank or single administrator, that can be sent from user to user on the peer-to-peer bitcoin network without the need for intermediaries. Transactions are verified by network nodes through cryptography and recorded in a public distributed ledger called a blockchain. The cryptocurrency was invented in 2008 by an unknown person or group of people using the name Satoshi Nakamoto."
15,Polygon,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
16,NEAR Protocol,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
17,Dai,"Wei Dai (Chinese: 戴维) is a computer engineer known for contributions to cryptography and cryptocurrencies.  He developed the Crypto++ cryptographic library, created the b-money cryptocurrency system, and co-proposed the VMAC message authentication algorithm. The smallest subunit of Ether, the wei, is named after him."
18,Litecoin,"Litecoin (LTC or Ł) is a peer-to-peer cryptocurrency and open-source software project released under the MIT/X11 license. Litecoin was an early bitcoin spinoff or altcoin, starting in October 2011.  In technical details, Litecoin is nearly identical to Bitcoin."
19,TRON,"TRON is a decentralized, open-source blockchain-based operating system with smart contract functionality, proof-of-stake principles as its consensus algorithm and a cryptocurrency native to the system, known as  Tronix (TRX). It was established in March 2014 by Justin Sun and since 2017 has been overseen and supervised by the TRON Foundation, a non-profit organization in Singapore, established in the same year. It was originally an Ethereum-based ERC-20 token, which switched its protocol to its own blockchain in 2018."
20,Chainlink,"Chainlink is a decentralized blockchain oracle network built on Ethereum. The network is intended to be used to facilitate the transfer of tamper-proof data from off-chain sources to on-chain smart contracts. Its creators claim it can be used to verify whether the parameters of a smart contract are met in a manner independent from any of the contract's stakeholders by connecting the contract directly to real-world data, events, payments, and other inputs."
21,Uniswap,Uniswap is a cryptocurrency exchange which uses a decentralized network protocol. Uniswap is also the name of the company that initially built the Uniswap protocol. The protocol facilitates automated transactions between cryptocurrency tokens on the Ethereum blockchain through the use of smart contracts.
22,Bitcoin Cash,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120."
23,FTX Token,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible."
24,ApeCoin,"Bored Ape Yacht Club (BAYC), or often colloquially called Bored Ape, is a non-fungible token (NFT) collection built on the Ethereum blockchain. The collection features profile pictures of cartoon apes that are procedurally generated by an algorithm. Yuga Labs is the parent company of Bored Ape Yacht Club."
25,Monero,"Monero (; XMR) is a decentralized cryptocurrency. It uses a public distributed ledger with privacy-enhancing technologies that obfuscate transactions to achieve anonymity and fungibility. Observers cannot decipher addresses trading monero, transaction amounts, address balances, or transaction histories."
26,Stellar,"After the creation of bitcoin, the number of cryptocurrencies available over the internet is growing. This is a list of notable cryptocurrencies."
27,Algorand,"Algorand is a pure proof of stake blockchain cryptocurrency protocol with a consensus mechanism chosen for scalability, intending to solve the blockchain trilemma. The Algorand platform supports smart contracts, and its consensus algorithm is based on proof of stake and a Byzantine agreement protocol.  Algorand's native cryptocurrency is called ALGO.


== History ==
Algorand was founded in 2017 by Silvio Micali, a professor at MIT. Algorand is composed of a company and a foundation."
28,Ethereum Classic,"Ethereum Classic is an open source, blockchain-based distributed computing platform featuring smart contract (scripting) functionality. It supports a modified version of Nakamoto consensus via transaction-based state transitions executed on a public Ethereum Virtual Machine (EVM).
Ethereum Classic maintains the original, unaltered history of the Ethereum network."
29,Internet Computer,"The DFINITY Foundation is a not-for-profit organization that develops the Internet Computer, a public blockchain network platform.


== History ==


=== Origins (2015 – 2019) ===
The Internet Computer was conceived in 2015 by programmer Dominic Williams, the idea being a world computer that cannot be shut down; which originated from the Ethereum ecosystem.
DFINITY was later founded by Williams in October 2016.In 2018, prominent venture capital firms such as Andreessen Horowitz, Polychain Capital, SV Angel, Wanxiang Blockchain provided financial contributions for less than 10% of the network's governance tokens.DFINITY raised $61 million from Andreesen Horowitz and Polychain Capital in a February 2018 funding round."
30,Decentraland,"Decentraland is a 3D virtual world browser-based platform. Users may buy virtual plots of land in the platform as NFTs via the MANA cryptocurrency, which uses the Ethereum blockchain. It was  opened to the public in February 2020, and is overseen by the nonprofit Decentraland Foundation."
31,Filecoin,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
32,Elrond,"Sibiu ( see-BEW, Romanian: [siˈbiw], German: Hermannstadt [ˈhɛʁmanʃtat], Hungarian: Nagyszeben [ˈnɒt͡sːɛbɛn]) is a city in Transylvania, a historical region of Romania. Located some 275 km (171 mi) north-west of Bucharest, the city straddles the Cibin River, a tributary of the river Olt. Now the capital of the Sibiu County, between 1692 and 1791 and 1849–65 Sibiu was also the capital of the Principality of Transylvania."
33,The Sandbox,"The Sandbox is a sandbox game for mobile phones (iOS and Android) and Microsoft Windows, developed by the game studio Pixowl and released on May 15, 2012. It was released for PC on Steam on 29 June 2015.
The brand was acquired by Animoca Brands in 2018, and its name was used for a blockchain-based 3D open world game."
34,Axie Infinity,"Axie Infinity is an non-fungible token-based online video game developed by Vietnamese studio Sky Mavis, known for its in-game economy which uses Ethereum-based cryptocurrencies.Players of Axie Infinity collect and mint NFTs which represent axolotl-inspired digital pets known as Axies. These creatures can be bred and battled with each other within the game. Sky Mavis charges a 4.25% fee to players when they trade Axies on its marketplace.As of September 2021, most Axie Infinity players are from the Philippines.Axie Infinity is built on the Ronin Network, an Ethereum-linked sidechain developed by Sky Mavis."
35,Tezos,"Tezos is a decentralized open-source blockchain that can execute peer-to-peer transactions and serve as a platform for deploying smart contracts. The native cryptocurrency for the Tezos blockchain is the tez which has the symbol XTZ.
Tezos was created by husband-and-wife team Arthur and Kathleen Breitman and first proposed in 2014. The non-profit Tezos Foundation, based in Zug, Switzerland, was created in 2017 to support the project and raised $232 million in Bitcoin and Ethereum in one of the biggest initial coin offerings (ICOs) at the time."
36,PancakeSwap,"The following is a list of ethnic slurs or ethnophaulisms or ethnic epithets that are, or have been, used as insinuations or allegations about members of a given ethnicity or racial group or to refer to them in a derogatory, pejorative, or otherwise insulting manner.
Some of the terms listed below (such as ""Gringo"", ""Yank"", etc.) can be used in casual speech without any intention of causing offense. The connotation of a term and prevalence of its use as a pejorative or neutral descriptor varies over time and by geography."
37,Klaytn,"Kakao (Korean: 카카오) is a South Korean Internet company that was established in 2010. It formed as a result of a merger between Daum Communications and the original Kakao Inc. In 2014, the company was renamed Daum Kakao."
38,EOS,"EOS.IO is a blockchain protocol based on the cryptocurrency EOS. The smart contract platform claims to eliminate transaction fees and also conduct millions of transactions per second.


== History ==
Based on a white paper published in 2017, the EOSIO platform was developed by the private company block.one and released as open-source software on June 1, 2018. In order to ensure widespread distribution of the native cryptocurrency at the launch of the blockchain, one billion tokens were distributed as ERC-20 tokens by block.one."
39,Zcash,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
40,Helium,"FreedomFi is a company for cellular networking.


== Gateway ==
The FreedomFi Gateway is a x86 device that functions as a 4G network in a box.


== Helium ==
FreedomFi has partnered with Helium to provide more coverage."
41,Flow,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly."
42,KuCoin Token,An Initial Exchange Offering (IEO) is the Cryptocurrency Exchange equivalent to a stock launch or Initial Public Offering (IPO). An IEO is the process of digital asset (e.g. coins or tokens) procurement through an established exchange for the purpose of raising capital for start-up companies.
43,IOTA,"IOTA is an open-source distributed ledger and cryptocurrency designed for the Internet of things (IoT). It uses a directed acyclic graph to store transactions on its ledger, motivated by a potentially higher scalability over blockchain based distributed ledgers. IOTA does not use miners to validate transactions, instead, nodes that issue a new transaction on the network must approve two previous transactions."
44,eCash,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120."
45,Maker,"CryptoKitties is a blockchain game on Ethereum developed by Canadian studio Dapper Labs that allows players to purchase, collect, breed and sell virtual cats. It is one of the earliest attempts to deploy blockchain technology for recreation and leisure. The game's popularity in December 2017 congested the Ethereum network, causing it to reach an all-time high in the number of transactions and slowing it down significantly."
46,BitTorrent-New,"WebTorrent is a peer-to-peer (P2P) streaming torrent client written in JavaScript, from the same author, Feross Aboukhadijeh, of YouTube Instant, and the team at WebTorrent and on GitHub, for use in web browsers, as well as a WebTorrent Desktop stand alone version able to bridge WebTorrent and BitTorrent serverless networks.


== History ==
Before creating WebTorrent, the developers first created PeerCDN (content delivery network) which was bought by Yahoo! in 2013."
47,The Graph,"Nano is a peer-to-peer open-source cryptocurrency. The currency is based on directed acyclic graph data structure and distributed ledger, making it possible for Nano to work without intermediaries. To agree on what transactions to commit, or forming consensuses, it uses a system called ""Open Representative Voting"" with weight based on the amount of currency they hold.Nano was launched in October 2015 by Colin LeMahieu to address Bitcoin scalability problem."
48,Bitcoin SV,"Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017.In November 2018, Bitcoin Cash split further into two cryptocurrencies: Bitcoin Cash and Bitcoin SV.


== History ==
Since its inception, Bitcoin users had maintained a common set of rules for the cryptocurrency. On 21 July 2017, bitcoin miners locked-in a software upgrade referred to as Bitcoin Improvement Proposal (BIP) 91, which meant that the Segregated Witness upgrade would activate at block 477,120."
49,Convex Finance,"Igor Rivin (born 1961 in Moscow, USSR) is a Russian-Canadian mathematician, 
working in various fields of pure and applied mathematics, computer science, 
and materials science. He was the Regius Professor of Mathematics at the University of St. Andrews from 2015 to 2017, and was   the chief research officer at Cryptos Fund until 2019."
50,Neo,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
51,Stacks,"Stacks project, formerly Blockstack, is an open-source platform to build smart contracts and decentralized blockchain applications. Stacks blockchain connects to Bitcoin to enable apps and smart contracts. In addition to smart contracts, the Stacks project provides open-source software for authentication, and data storage."
52,Huobi Token,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin."
53,Harmony,"In Christian theology, the Harrowing of Hell (Latin: Descensus Christi ad Inferos, ""the descent of Christ into Hell"" or Hades), is an Old English and Middle English term referring to the period of time between the Crucifixion of Jesus and his resurrection. In triumphant descent, Christ brought salvation to the souls held captive there since the beginning of the world.Jesus Christ's descent into the world of the dead is referred to in the Apostles' Creed and the Athanasian Creed (Quicumque vult), which state that he ""descended into the underworld"" (descendit ad inferos), although neither mention that he liberated the dead. His descent to the underworld is alluded to in the New Testament in 1 Peter 4:6, which states that the ""good tidings were proclaimed to the dead""."
54,Kusama,"Voxel Bridge is an interactive public artwork under the Cambie Bridge in Vancouver, by artist Jessica Angel. The 8,000-square-foot (740 m2) mural is a vinyl overlay on the bridge that reveals interactive elements through augmented reality (AR), with aspects of the artwork being sold as non-fungible tokens. The installation  will be part of the Vancouver Biennale from summer 2021 to 2023."
55,TrueUSD,"Stablecoins are cryptocurrencies where the price is designed to be pegged to a cryptocurrency, fiat money, or to exchange-traded commodities (such as precious metals or industrial metals).


== Backed stablecoins ==
Advantages of asset-backed cryptocurrencies are that coins are stabilized by assets that fluctuate outside of the cryptocurrency space, that is, the underlying asset is not correlated, reducing financial risk. Bitcoin and altcoins are highly correlated, so that cryptocurrency holders cannot escape widespread price falls without exiting the market or taking refuge in asset backed stablecoins."
56,Gala,"Matthew Paige Damon (; born October 8, 1970) is an American actor, film producer, and screenwriter. Ranked among Forbes' most bankable stars, the films in which he has appeared have collectively earned over $3.88 billion at the North American box office, making him one of the highest-grossing actors of all time. He is the recipient of various accolades, including an Academy Award and two Golden Globe Awards, in addition to nominations for three British Academy Film Awards, six Screen Actors Guild Awards, and seven Primetime Emmy Awards."
57,quant,"QuantConnect is an open-source, cloud-based algorithmic trading platform for equities,
FX, futures, options, derivatives and cryptocurrencies. QuantConnect serves over 100,000 quants from 170+ countries, with customers including hedge funds and brokerages, as well as individuals such as engineers, mathematicians, scientists, quants, students, traders, and programmers.


== History ==
Jared Broad founded QuantConnect in 2011."
58,Curve DAO Token,"Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH or Ξ) is the native cryptocurrency of the platform. Among cryptocurrencies, Ether is second only to Bitcoin in market capitalization.Ethereum was conceived in 2013 by programmer Vitalik Buterin."
59,OKB,"OKX, formerly known as OKEx, is one of the largest crypto spot and derivatives trading exchanges. OKX is a Seychelles-based cryptocurrency exchange that provides a platform for trading various instruments such as spot and derivative. Some of the exchange's core features include spot and derivative trading."
60,Basic Attention Token,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible."
61,Dash,"After the creation of bitcoin, the number of cryptocurrencies available over the internet is growing. This is a list of notable cryptocurrencies."
62,Mina,"The Pirate Bay (sometimes abbreviated as TPB) is an online index of digital content of entertainment media and software. Founded in 2003 by Swedish think tank Piratbyrån, The Pirate Bay allows visitors to search, download, and contribute magnet links and torrent files, which facilitate peer-to-peer (P2P) file sharing among users of the BitTorrent protocol.
The Pirate Bay has sparked controversies and discussion about legal aspects of file sharing, copyright, and civil liberties and has become a platform for political initiatives against established intellectual property laws as well as a central figure in an anti-copyright movement."
63,Neutrino USD,"Coinbase Global, Inc., branded Coinbase, is an American company that operates a cryptocurrency exchange platform. Coinbase is a distributed company; all employees operate via remote work and the company lacks a physical headquarters. It is the largest cryptocurrency exchange in the United States by trading volume."
64,Arweave,"Proof of space (PoS) is a type of consensus algorithm achieved by demonstrating one's legitimate interest in a service (such as sending an email) by allocating a non-trivial amount of memory or disk space to solve a challenge presented by the service provider. The concept was formulated in 2013 by Dziembowski et al. and (with a different formulation) by Ateniese et al..Proofs of space are very similar to proofs of work (PoW), except that instead of computation, storage is used to earn cryptocurrency."
65,Amp,"Brave is a free and open-source web browser developed by Brave Software, Inc. based on the Chromium web browser. Brave is a privacy-focused browser, which automatically blocks online advertisements and website trackers in its default settings."
66,Pax Dollar,"Paxos Trust Company is a New York-based financial institution and technology company specializing in blockchain. The company's product offerings include a cryptocurrency brokerage service, asset tokenization services, and settlement services. ItBit, a bitcoin exchange run by Paxos, was the first bitcoin exchange to be licensed by the New York State Department of Financial Services, granting the company the ability to be the custodian and exchange for customers in the United States.Paxos was founded in 2012 and is based in New York City, with offices in London and Singapore."
67,Compound,"A cryptocurrency, crypto-currency, crypto, or coin is a digital currency designed to work as a medium of exchange through a computer network that is not reliant on any central authority, such as a government or bank, to uphold or maintain it.Individual coin ownership records are stored in a digital ledger, which is a computerized database using strong cryptography to secure transaction records, to control the creation of additional coins, and to verify the transfer of coin ownership. Despite their name, cryptocurrencies are not considered to be currencies in the traditional sense and while varying treatments have been applied to them, including classification as commodities, securities, as well as currencies, cryptocurrencies are generally viewed as a distinct asset class in practice. Some crypto schemes use validators to maintain the cryptocurrency."
68,Kyber Network Crystal v2,Post-Quantum Cryptography Standardization is a program and competition by NIST to update their standards to include post-quantum cryptography. It was announced at PQCrypto 2016. 23 signature schemes and 59 encryption/KEM schemes were submitted by the initial submission deadline at the end of 2017 of which 69 total were deemed complete and proper and participated in the first round.
69,Theta Fuel,"Malcolm CasSelle (1970-2020) was an American businessman. He was CEO of BIGtoken, Inc. He was the CIO of OPSkins and was the President of WAX (Worldwide Asset eXchange)."
70,Kadena,"USS Pueblo (AGER-2) is a  Banner-class environmental research ship, attached to Navy intelligence as a spy ship, which was attacked and captured by North Korean forces on 23 January 1968, in what was later known as the ""Pueblo incident"" or alternatively, as the ""Pueblo crisis"".
The seizure of the U.S. Navy ship and her 83 crew members, one of whom was killed in the attack, came less than a week after President Lyndon B. Johnson's State of the Union address to the United States Congress, a week before the start of the Tet Offensive in South Vietnam during the Vietnam War and three days after 31 men of North Korea's KPA Unit 124 had crossed the Korean Demilitarized Zone (DMZ) and killed 26 South Koreans in an attempt to attack the South Korean Blue House (executive mansion) in the capital Seoul. The taking of Pueblo and the abuse and torture of her crew during the subsequent eleven months became a major Cold War incident, raising tensions between western and eastern powers."
71,Moonbeam,"Michael John Moorcock (born 18 December 1939) is an English writer, best-known for science fiction and fantasy, who has published a number of well-received literary novels as well as comic thrillers, graphic novels and non-fiction. He has worked as an editor and is also a successful musician. He is best known for his novels about the character Elric of Melniboné, a seminal influence on the field of fantasy since the 1960s and '70s.As editor of the British science fiction magazine New Worlds, from May 1964 until March 1971 and then again from 1976 to 1996, Moorcock fostered the development of the science fiction ""New Wave"" in the UK and indirectly in the United States, leading to the advent of cyberpunk."
72,NEM,"Cryptocurrency bubble refers to the skeptical viewpoint about cryptocurrencies that the rising price of cryptocurrencies constitutes a speculative bubble. Adherents include The Black Swan author Nassim Taleb; Michael Burry, who shorted subprime mortgage bonds as detailed in The Big Short; Berkshire Hathaway board members, including Warren Buffett and Charlie Munger; and many other critics. Bitcoin and other cryptocurrencies have been named as speculative bubbles by several laureates of the Nobel Memorial Prize in Economic Sciences, central bankers, and investors."
73,Oasis Network,"The Organization for the Advancement of Structured Information Standards (OASIS; ) is a nonprofit consortium that works on the development, convergence, and adoption of open standards for cybersecurity, blockchain, Internet of things (IoT), emergency management, cloud computing, legal data exchange, energy, content technologies, and other areas.


== History ==
OASIS was founded under the name ""SGML Open"" in 1993. It began as a trade association of Standard Generalized Markup Language (SGML) tool vendors to cooperatively promote the adoption of SGML through mainly educational activities, though some amount of technical activity was also pursued including an update of the CALS Table Model specification and specifications for fragment interchange and entity management.In 1998, with the movement of the industry to XML, SGML Open changed its emphasis from SGML to XML, and changed its name to OASIS Open to be inclusive of XML and reflect an expanded scope of technical work and standards."
74,Secret,"A secret society is a club or an organization whose activities, events, inner functioning, or membership are concealed. The society may or may not attempt to conceal its existence. The term usually excludes covert groups, such as intelligence agencies or guerrilla warfare insurgencies, that hide their activities and memberships but maintain a public presence."
75,0x,"0x is an open-source, decentralized exchange infrastructure that enables the exchange of tokenized assets on multiple blockchains. Developers can use 0x to incorporate exchange functionality into their applications, and market makers can use 0x to create markets for cryptocurrencies and tokens. ZRX, an Ethereum ERC-20 token, is the native governance and staking token of 0x."
76,ICON,"A non-fungible token (NFT) is a non-interchangeable unit of data stored on a blockchain, a form of digital ledger, that can be sold and traded. Types of NFT data units may be associated with digital files such as photos, videos, and audio. Because each token is uniquely identifiable, NFTs differ from most cryptocurrencies, such as Bitcoin, which are fungible."
